Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 7,10,71.4,5,35.7,5,35.7,4,28.6,0,0,14,100
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade 8,7,53.8,2,15.4,5,38.5,4,30.8,2,15.4,13,100
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Econo. Disadvantaged,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2005,Arlington SD 3,323,Arlington Community Charter School,English Language Arts,Homeless,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
